rating,playback_used,ebird_code,channels,date,duration,filename,species,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,bitrate_of_mp3,file_type,background,xc_id,url,country,author,primary_label,longitude,time,recordist,license
0.0,no,aldfly,2 (stereo),2019-06-11,49,XC554809.mp3,Alder Flycatcher,XC554809 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Wasilla, Matanuska-Susitna, Alaska",61.6841,44100 (Hz),"adult, call, male",70 m,128000 (bps),mp3,,554809,https://www.xeno-canto.org/554809,United States,Ron Overholtz,Empidonax alnorum_Alder Flycatcher,-149.9757,07:00,Ron Overholtz,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
0.0,no,aldfly,2 (stereo),2020-04-14,21,XC552408.mp3,Alder Flycatcher,XC552408 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Mana Dulce, Cundinamarca",4.351,44100 (Hz),call,380 m,320000 (bps),mp3,,552408,https://www.xeno-canto.org/552408,Colombia,Jerome Fischer,Empidonax alnorum_Alder Flycatcher,-74.652,17:00,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
0.0,yes,aldfly,2 (stereo),2020-04-05,35,XC544552.mp3,Alder Flycatcher,XC544552 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Mana Dulce, Cundinamarca",4.351,44100 (Hz),call,380 m,320000 (bps),mp3,,544552,https://www.xeno-canto.org/544552,Colombia,Jerome Fischer,Empidonax alnorum_Alder Flycatcher,-74.652,07:00,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
0.0,yes,aldfly,2 (stereo),2020-04-05,12,XC544551.mp3,Alder Flycatcher,XC544551 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Mana Dulce, Cundinamarca",4.351,44100 (Hz),call,380 m,320000 (bps),mp3,,544551,https://www.xeno-canto.org/544551,Colombia,Jerome Fischer,Empidonax alnorum_Alder Flycatcher,-74.652,07:00,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
0.0,yes,aldfly,2 (stereo),2020-04-05,38,XC544550.mp3,Alder Flycatcher,XC544550 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Mana Dulce, Cundinamarca",4.351,44100 (Hz),call,380 m,320000 (bps),mp3,,544550,https://www.xeno-canto.org/544550,Colombia,Jerome Fischer,Empidonax alnorum_Alder Flycatcher,-74.652,07:00,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
0.0,no,aldfly,2 (stereo),2020-04-04,37,XC541883.mp3,Alder Flycatcher,XC541883 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Mana Dulce, Cundinamarca",4.351,44100 (Hz),song,380 m,320000 (bps),mp3,,541883,https://www.xeno-canto.org/541883,Colombia,Jerome Fischer,Empidonax alnorum_Alder Flycatcher,-74.652,17:30,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
0.0,no,aldfly,2 (stereo),2020-04-04,18,XC541879.mp3,Alder Flycatcher,XC541879 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Mana Dulce, Cundinamarca",4.351,44100 (Hz),song,380 m,320000 (bps),mp3,,541879,https://www.xeno-canto.org/541879,Colombia,Jerome Fischer,Empidonax alnorum_Alder Flycatcher,-74.652,17:30,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
5.0,no,aldfly,2 (stereo),2019-06-09,11,XC550421.mp3,Alder Flycatcher,XC550421 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Godmanchester, Le Haut-Saint-Laurent, Québec",45.0889,44100 (Hz),"adult, song",100 m,128000 (bps),mp3,,550421,https://www.xeno-canto.org/550421,Canada,Martin St-Michel,Empidonax alnorum_Alder Flycatcher,-74.2627,07:26,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
5.0,no,aldfly,2 (stereo),2003-06-11,71,XC509611.mp3,Alder Flycatcher,XC509611 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Cranberry river, British Columbia",55.577,44100 (Hz),"adult, sex uncertain, song",240 m,320000 (bps),mp3,,509611,https://www.xeno-canto.org/509611,Canada,Peter Ward,Empidonax alnorum_Alder Flycatcher,-128.5812,10:00,Peter Ward,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2020-06-13,54,XC567932.mp3,Alder Flycatcher,XC567932 Alder Flycatcher (Empidonax alnorum),"['Melospiza melodia_Song Sparrow', 'Turdus migratorius_American Robin']",no,Empidonax alnorum,"Ernest Oros Nature Preserve, Avenel, New Jersey",40.5874,48000 (Hz),song,0 m,160911 (bps),mp3,Song Sparrow (Melospiza melodia); American Robin (Turdus migratorius),567932,https://www.xeno-canto.org/567932,United States,William Whitehead,Empidonax alnorum_Alder Flycatcher,-74.2621,07:30,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
